analytics-api-1  | INFO:     172.20.0.1:56764 - "GET /metrics/traffic?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /metrics/secondary_kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /metrics/feature_usage_series?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /features/usage?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /features/activity?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /tenants?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /metrics/realtime_users?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /metrics/pages_per_minute?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /metrics/top_pages?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /metrics/devices?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /metrics/channels?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /locations?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /audit_logs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /features/configs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /metrics/retention?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56778 - "GET /funnels?tenants=nexabank&steps=login,dashboard_view,loan_applied,kyc_started,kyc_completed&window_minutes=60&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42844 - "GET /metrics/kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42844 - "GET /metrics/traffic?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /metrics/secondary_kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /metrics/feature_usage_series?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /features/usage?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /features/activity?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /tenants?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /metrics/realtime_users?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /metrics/pages_per_minute?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /metrics/top_pages?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /metrics/devices?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /metrics/channels?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /locations?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /audit_logs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /features/configs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /metrics/retention?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:42852 - "GET /funnels?tenants=nexabank&steps=login,dashboard_view,loan_applied,kyc_started,kyc_completed&window_minutes=60&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46734 - "GET /metrics/kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46734 - "GET /metrics/traffic?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /metrics/secondary_kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /metrics/feature_usage_series?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /features/usage?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /features/activity?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /tenants?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /metrics/realtime_users?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /metrics/pages_per_minute?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /metrics/top_pages?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /metrics/devices?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /metrics/channels?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /locations?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /audit_logs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /features/configs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /metrics/retention?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:46750 - "GET /funnels?tenants=nexabank&steps=login,dashboard_view,loan_applied,kyc_started,kyc_completed&window_minutes=60&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /metrics/kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34236 - "GET /metrics/secondary_kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /metrics/traffic?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /metrics/feature_usage_series?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /features/usage?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /features/activity?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /tenants?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /metrics/realtime_users?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /metrics/pages_per_minute?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /metrics/top_pages?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /metrics/devices?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /metrics/channels?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /locations?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /audit_logs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /features/configs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /metrics/retention?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:34232 - "GET /funnels?tenants=nexabank&steps=login,dashboard_view,loan_applied,kyc_started,kyc_completed&window_minutes=60&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56802 - "GET /metrics/kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56802 - "GET /metrics/traffic?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56814 - "GET /metrics/secondary_kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56814 - "GET /metrics/feature_usage_series?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56814 - "GET /features/usage?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56814 - "GET /features/activity?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56814 - "GET /tenants?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56814 - "GET /metrics/realtime_users?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56814 - "GET /metrics/pages_per_minute?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56814 - "GET /metrics/top_pages?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56814 - "GET /metrics/devices?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:56814 - "GET /metrics/channels?tenants=nexabank&range=7d HTTP/1.1" 200 OK
